id,dice
12077911,0.850543141
12081071,0.849690676
12073757,0.844655693
10174451,0.844467759
12043093,0.8438344
12078440,0.843515515
11040105,0.841727734
12078088,0.836745203
12062812,0.836196899
11994946,0.83425951
12069103,0.830085933
10567646,0.829993069
10138731,0.828707159
12060835,0.828703701
12069258,0.827552497
12070648,0.827454925
12060909,0.826193333
12063502,0.825920284
12059584,0.82408464
12080108,0.823740721
10701677,0.823710024
10378433,0.823670268
11045425,0.823509455
12070691,0.823203027
11555266,0.822733462
12075287,0.8222332
10488493,0.82221204
12074061,0.821658552
11521699,0.821359873
12070068,0.821277618
12059683,0.820463419
11980892,0.820026636
10894494,0.819986224
11904440,0.819888413
12068751,0.819744885
12030396,0.819418013
10691932,0.818760514
11960585,0.815798044
12060151,0.815062404
10631068,0.814803839
12008919,0.81455183
12060859,0.814381361
11992100,0.814081073
12077674,0.813376904
12060841,0.812723279
11138064,0.812145233
12020354,0.811111569
10258640,0.810866833
12068161,0.810740292
10901505,0.810497046
12074685,0.81030184
12062602,0.810195267
12077776,0.808803797
11980798,0.808746636
12018729,0.808636069
12059611,0.80856216
10423186,0.808440328
12021122,0.808410883
10055172,0.808356762
12078356,0.808118582
10653045,0.808054507
12079071,0.807942688
12019019,0.807826161
12062194,0.807496727
12087011,0.806487679
12075717,0.806313574
12060935,0.806278527
11644536,0.806010664
11687105,0.805691004
11026721,0.805139363
10418750,0.805085599
12058994,0.804832339
12051805,0.804500282
12070385,0.804282188
10837347,0.804223299
12021474,0.804142058
11617215,0.804067969
12074952,0.803417265
12058960,0.803415656
12058426,0.803308964
10514827,0.803149104
11048925,0.803004146
12074765,0.802292168
12071268,0.802264392
12060038,0.802075088
12061260,0.80144769
12073740,0.801441073
12072906,0.801311493
11051397,0.801060498
12013584,0.800944269
11194951,0.800276279
12065570,0.800176084
11623524,0.800114512
10444360,0.799937129
12003534,0.799914837
10711583,0.799831152
11972059,0.799604297
10729916,0.799203992
11979793,0.798593879
11065296,0.798510134
12079851,0.798413932
11014502,0.798237443
12061006,0.798211753
12021324,0.79806155
12023084,0.79798609
12019456,0.797731757
11964992,0.797277987
11443722,0.79727757
12069043,0.797016382
10502095,0.796690345
11982133,0.796501398
12056483,0.796197236
12062552,0.79617393
10496965,0.796105444
12062849,0.796097457
10973668,0.796070337
12069134,0.795955777
11983000,0.795810759
12078081,0.795659781
11984870,0.795398593
12055935,0.795199513
12075562,0.795151651
10106129,0.794562638
12059910,0.794024467
12080040,0.793790519
11303792,0.793657422
11297515,0.793061435
12059003,0.792497098
