ID,k_fold
10333737,1
10258640,4
10458703,1
10258935,2
10017784,3
10367641,1
10174451,3
10064966,1
10373402,2
10106129,4
10055172,4
10062792,1
10184594,1
10462140,1
10122003,2
10343854,1
10138731,4
10129913,4
10369797,1
10182667,1
10018985,4
10236502,3
10048510,1
10211117,3
10317476,3
10361566,2
10368927,4
10210713,1
10311326,3
10423186,2
10175464,4
10378433,3
10016975,2
10444360,4
10418750,4
10129396,3
10373757,1
10317210,3
10054710,4
10302584,1
10200737,3
10039455,2
10029129,1
10276984,1
10346727,4
10133032,4
10249582,4
10234511,4
10253809,1
10470842,3
10142530,1
10095371,4
10398548,2
10341513,3
10462607,1
10450805,3
10027729,3
10100390,3
10443974,4
10239504,4
10050634,1
10064059,1
10253638,2
10115848,4
10176460,1
10456097,4
10257303,4
10033813,4
10116102,1
10248191,1
10151662,1
10224460,2
10470688,1
10464540,2
10474374,1
10064282,4
10181338,3
10340740,1
10101006,4
10345021,2
10043087,4
10346159,3
10376476,2
10198741,3
10250841,1
10312291,1
10203555,2
10382074,4
10185400,4
10144166,2
10032743,1
10147188,3
10386361,4
10090344,1
10371282,3
10060298,1
10033946,2
10175956,1
10308614,2
10054193,1
